model_id,bbh_acc,math_acc,musr_acc,mmlu_pro_acc,bbh_sub_boolean_expressions,bbh_sub_causal_judgement,bbh_sub_date_understanding,bbh_sub_logical_deduction_five_objects,bbh_sub_logical_deduction_seven_objects,bbh_sub_logical_deduction_three_objects,bbh_sub_navigate,bbh_sub_object_counting,bbh_sub_penguins_in_a_table,bbh_sub_web_of_lies,score_variance,label
SaisExperiments/Evil-Alpaca-3B-L3.2,0.4332581149106058,0.0702416918429003,0.4193121693121693,0.2621343085106383,0.812,0.6042780748663101,0.484,0.344,0.228,0.484,0.58,0.392,0.3150684931506849,0.548,0.0217551374956028,1
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-3ep_0alp_0lam,0.3202568998437771,0.0415407854984894,0.3267195767195767,0.1539228723404255,0.744,0.4759358288770053,0.296,0.236,0.156,0.348,0.58,0.108,0.3013698630136986,0.512,0.0150952430153572,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.3152230515535497,0.0370090634441087,0.332010582010582,0.1575797872340425,0.744,0.46524064171123,0.232,0.2,0.176,0.364,0.58,0.144,0.2602739726027397,0.516,0.0154953791323028,0
nbeerbower/mistral-nemo-bophades3-12B,0.5420933865648325,0.0845921450151057,0.458994708994709,0.3371010638297872,0.864,0.6149732620320856,0.556,0.452,0.444,0.724,0.628,0.376,0.5547945205479452,0.5,0.0301948701759893,1
internlm/internlm2_5-20b-chat,0.7465717757333796,0.4078549848942598,0.455026455026455,0.3997672872340425,0.844,0.6363636363636364,0.896,0.796,0.74,0.984,0.572,0.464,0.726027397260274,0.488,0.0268860160356841,1
mmnga/Llama-3-70B-japanese-suzume-vector-v0.1,0.6519701440722097,0.2326283987915408,0.4126984126984127,0.5224401595744681,0.908,0.7165775401069518,0.644,0.564,0.56,0.86,0.58,0.444,0.678082191780822,0.532,0.0293487577400375,0
meditsolutions/SmolLM2-MedIT-Upscale-2B,0.3513278944627668,0.0558912386706948,0.3306878306878307,0.1970578457446808,0.752,0.5775401069518716,0.436,0.276,0.156,0.368,0.48,0.272,0.3219178082191781,0.488,0.0142366899889786,0
prithivMLmods/COCO-7B-Instruct-1M,0.5381010241277556,0.3496978851963746,0.4378306878306878,0.4186336436170212,0.768,0.6310160427807486,0.552,0.532,0.54,0.752,0.66,0.4,0.5273972602739726,0.48,0.0078304172096043,1
DreadPoor/Not_Even_My_Final_Form-8B-Model_Stock,0.5334143377885784,0.1759818731117824,0.414021164021164,0.3839760638297872,0.856,0.6042780748663101,0.468,0.384,0.38,0.64,0.648,0.432,0.5205479452054794,0.492,0.0179031794369318,1
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-2ep_0alp_0lam,0.3211248047214025,0.0377643504531722,0.3293650793650793,0.1533410904255319,0.752,0.46524064171123,0.312,0.204,0.156,0.356,0.58,0.124,0.2671232876712329,0.516,0.015819059992454,0
DreadPoor/remember_to_breathe-8b-Model-Stock,0.5394896719319563,0.1487915407854985,0.414021164021164,0.3760804521276595,0.824,0.6149732620320856,0.464,0.408,0.424,0.624,0.648,0.484,0.5205479452054794,0.484,0.020844820483458,0
macadeliccc/magistrate-3.2-3b-base,0.3320604061794827,0.0113293051359516,0.3968253968253968,0.1688829787234042,0.696,0.4919786096256685,0.288,0.224,0.148,0.356,0.58,0.328,0.2191780821917808,0.512,0.0226685882305322,1
hotmailuser/QwenSparse-7B,0.2855407047387606,0.0105740181268882,0.3558201058201058,0.1122007978723404,0.48,0.5187165775401069,0.192,0.172,0.152,0.344,0.42,0.016,0.2397260273972602,0.488,0.0196697309281003,1
